BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0.26558498,0.593625,0.57999396,0.47292316,0.38044038,0.66846555
0.29831398,0.6200183,0.62832683,0.518326,0.36371133,0.65147364
0.3146215,0.6249656,0.65212995,0.39026126,0.37234166,0.6457146
0.32784182,0.62756145,0.66694576,0.39192587,0.37716314,0.6413309
0.3305969,0.6303328,0.6744767,0.49607977,0.38111266,0.638188
0.3343135,0.631356,0.680851,0.66358036,0.3840256,0.6347529
0.33446103,0.6321576,0.68424916,0.6540233,0.3905434,0.6325943
0.34117302,0.63508934,0.6872172,0.6310591,0.4114094,0.63050663
0.34984502,0.63823485,0.69012845,0.6277614,0.44792396,0.6279909
0.36341646,0.641243,0.6932615,0.61865073,0.47653925,0.62575155
0.37743136,0.64488465,0.69525266,0.61898476,0.50425637,0.6239329
0.39128065,0.64683163,0.6972115,0.61357284,0.52347344,0.6221324
0.41028783,0.65063375,0.699276,0.6139607,0.53989327,0.6202361
0.42223248,0.65333635,0.7026125,0.6147515,0.55087537,0.61739516
0.43730146,0.6556038,0.7047709,0.61529,0.5605403,0.61548734
0.44754437,0.6590091,0.7082609,0.61722505,0.56761533,0.6127322
0.45819512,0.66158956,0.7116721,0.61951864,0.57390344,0.6100413
0.47150713,0.6653001,0.71510303,0.6233845,0.5821785,0.60752815
0.47899538,0.66842276,0.71820545,0.6261875,0.5871604,0.604526
0.486484,0.66950685,0.7211941,0.6259482,0.58975494,0.60201436
0.49600655,0.6727744,0.72513586,0.62917846,0.5954485,0.59843737
0.5031801,0.676569,0.72912323,0.6339391,0.6013603,0.5951174
0.5124436,0.67918,0.73279107,0.6355927,0.6053859,0.59152085
0.5150875,0.68212706,0.7366074,0.63990676,0.6090898,0.5876509
0.52575636,0.6869139,0.7425352,0.64516383,0.6159897,0.5825809
0.5330781,0.68929607,0.7458719,0.646778,0.61939704,0.5784458
0.543155,0.69522834,0.7521975,0.6540719,0.6276339,0.5722344
0.55042154,0.6999236,0.7565326,0.6598579,0.63377315,0.5671666
0.55999947,0.70567256,0.76244694,0.6667536,0.6414053,0.56066245
0.56110865,0.7074363,0.7655831,0.66904414,0.6433211,0.5554449
0.57517904,0.7146969,0.7716003,0.6769474,0.6529141,0.5476976
0.5760852,0.7151244,0.77436614,0.6769158,0.6531096,0.5420521
0.58494174,0.72049165,0.77789325,0.6829973,0.65992326,0.5364868
0.59459364,0.723599,0.7816735,0.6847141,0.66372657,0.5299565
0.59581375,0.72698116,0.78379935,0.6899691,0.66786784,0.5256683
0.60333925,0.7292258,0.7856091,0.690991,0.67055166,0.5223933
0.6087754,0.73358524,0.7898719,0.69629824,0.67591697,0.5136259
0.61552376,0.73838764,0.79330677,0.7021988,0.6819994,0.50680107
0.6210524,0.74139565,0.7956087,0.7051533,0.6856544,0.50157875
0.62643296,0.7441747,0.7964825,0.7074457,0.6886448,0.49909702
0.63079685,0.7471599,0.7982016,0.71117765,0.69251007,0.49418744
0.6361956,0.7520614,0.802693,0.7172127,0.69841987,0.48489743
0.643961,0.7554665,0.8045372,0.7201871,0.7025786,0.4798492
0.6468828,0.7601467,0.806169,0.7269359,0.7082888,0.47563976
0.6522631,0.7626432,0.8093918,0.72933614,0.7114619,0.46655142
0.65448195,0.7648267,0.81017226,0.7317428,0.7137856,0.46321386
0.6569038,0.7658726,0.811375,0.73290986,0.715315,0.45853096
0.66542774,0.7707971,0.81362194,0.7380569,0.7213203,0.45054373
0.67079,0.77510303,0.8148523,0.7430306,0.7263637,0.44160208
0.67204726,0.7761948,0.8164832,0.7443642,0.7276432,0.4364349
0.6754304,0.77827144,0.817891,0.74653417,0.7300581,0.4335902
0.67870355,0.78162307,0.8196722,0.7509499,0.7341861,0.42223662
0.6764472,0.77866083,0.8178604,0.7471412,0.7307977,0.436062
0.682697,0.78266144,0.82124555,0.7514188,0.7356289,0.4201164
0.6855075,0.78482974,0.82170475,0.7545102,0.73863995,0.42015412
0.6845096,0.7843182,0.82152426,0.7535418,0.7375721,0.4228687
0.6876899,0.7857154,0.82349575,0.7549122,0.7394989,0.41260943
0.68545157,0.7852038,0.8224327,0.7546406,0.73863727,0.4187674
0.6916831,0.7898839,0.826532,0.76050127,0.74460894,0.40179935
0.6925705,0.7897694,0.82621205,0.75997245,0.7444151,0.40292495
0.6919239,0.78846383,0.82636344,0.75790536,0.7426893,0.4083427
0.6955106,0.79137284,0.82839566,0.76197165,0.74668103,0.40201348
0.69711894,0.791556,0.8289019,0.7613655,0.74662274,0.39580998
0.6946594,0.7900366,0.82811487,0.7601367,0.74513394,0.4072074
0.69680506,0.7922584,0.82987744,0.7630785,0.7478219,0.40207955
0.70192677,0.79393035,0.83099556,0.76418006,0.74997765,0.39475793
0.70131606,0.794251,0.8329894,0.76474357,0.7502091,0.3898748
0.7020188,0.79441893,0.83274287,0.76475805,0.75035274,0.39538482
0.7012053,0.79554904,0.8339241,0.76743007,0.75222945,0.39258525
0.7042009,0.79667884,0.8352574,0.76816446,0.7535019,0.38717625
0.70482945,0.7969844,0.8353205,0.7685097,0.7539337,0.3865561
0.70747334,0.7985495,0.8371917,0.7704058,0.7560328,0.38466862
0.7082131,0.79914486,0.83761555,0.7713134,0.7569286,0.384116
0.711541,0.8001069,0.8390763,0.771854,0.75813705,0.38875002
0.7113191,0.8005344,0.8399107,0.7727188,0.75873744,0.3863986
0.7099141,0.8001145,0.84014493,0.7724844,0.7581265,0.38781324
0.71255815,0.8023363,0.8414026,0.7754676,0.7611324,0.3801332
0.7089158,0.79993886,0.8408257,0.7726345,0.75801414,0.38942844
0.7158495,0.80364186,0.84376216,0.77666855,0.76288,0.3778969
0.7149065,0.80366474,0.8447876,0.77679527,0.7626374,0.37624344
0.71688455,0.8040617,0.8446682,0.7769625,0.7633531,0.37574688
0.7178277,0.8051993,0.84578234,0.7786501,0.76481074,0.37462705
0.72134084,0.8072454,0.8473746,0.7811202,0.76758677,0.37278777
0.7203794,0.8074057,0.84838897,0.78166443,0.7676932,0.37169933
0.72492796,0.80910057,0.8497032,0.782924,0.76979405,0.3702748
0.724447,0.80932975,0.85008717,0.78351,0.77011377,0.36967805
0.7237442,0.8080013,0.85044223,0.78152376,0.7684282,0.37721708
0.7283855,0.81123066,0.85224724,0.7857064,0.77282006,0.36708137
0.72760874,0.81138337,0.85362846,0.7860191,0.77281696,0.3654845
0.73073334,0.81304014,0.8556295,0.7876393,0.77476007,0.36316335
0.72910655,0.8130631,0.85572284,0.78843254,0.77498025,0.36271763
0.7330081,0.81413186,0.85538334,0.7888028,0.7762234,0.36273426
0.73173183,0.81423885,0.8572081,0.789595,0.7765176,0.3607988
0.7351894,0.8168346,0.859768,0.7926932,0.77964383,0.35765514
0.7380923,0.8174531,0.86019164,0.79276925,0.7804557,0.35723537
0.7392207,0.8192014,0.86154723,0.7954408,0.78271604,0.3554782
0.7402928,0.81852955,0.862097,0.79387933,0.7818699,0.3546322
0.73968256,0.82052225,0.8639308,0.79770786,0.7845723,0.35240072
0.74038535,0.8204459,0.8642586,0.797,0.7841532,0.35166645
0.74504477,0.8223545,0.86557573,0.7986392,0.7865888,0.34960273
